,slice_file_name,fsID,start,end,salience,fold,classID,class
68,101729-0-0-11.wav,101729,5.5,9.5,2,9,0,air_conditioner
69,101729-0-0-12.wav,101729,6.0,10.0,2,9,0,air_conditioner
70,101729-0-0-13.wav,101729,6.5,10.5,2,9,0,air_conditioner
71,101729-0-0-14.wav,101729,7.0,11.0,2,9,0,air_conditioner
72,101729-0-0-16.wav,101729,8.0,12.0,2,9,0,air_conditioner
73,101729-0-0-17.wav,101729,8.5,12.5,2,9,0,air_conditioner
74,101729-0-0-18.wav,101729,9.0,13.0,2,9,0,air_conditioner
75,101729-0-0-19.wav,101729,9.5,13.5,2,9,0,air_conditioner
76,101729-0-0-21.wav,101729,10.5,14.5,2,9,0,air_conditioner
77,101729-0-0-22.wav,101729,11.0,15.0,2,9,0,air_conditioner
78,101729-0-0-23.wav,101729,11.5,15.5,2,9,0,air_conditioner
79,101729-0-0-24.wav,101729,12.0,16.0,2,9,0,air_conditioner
80,101729-0-0-26.wav,101729,13.0,17.0,2,9,0,air_conditioner
81,101729-0-0-28.wav,101729,14.0,18.0,2,9,0,air_conditioner
82,101729-0-0-29.wav,101729,14.5,18.5,2,9,0,air_conditioner
83,101729-0-0-3.wav,101729,1.5,5.5,2,9,0,air_conditioner
84,101729-0-0-32.wav,101729,16.0,20.0,2,9,0,air_conditioner
85,101729-0-0-33.wav,101729,16.5,20.5,2,9,0,air_conditioner
86,101729-0-0-36.wav,101729,18.0,22.0,2,9,0,air_conditioner
87,101729-0-0-37.wav,101729,18.5,22.5,2,9,0,air_conditioner
88,101729-0-0-38.wav,101729,19.0,23.0,2,9,0,air_conditioner
89,101729-0-0-39.wav,101729,19.5,23.5,2,9,0,air_conditioner
90,101729-0-0-4.wav,101729,2.0,6.0,2,9,0,air_conditioner
91,101729-0-0-40.wav,101729,20.0,24.0,2,9,0,air_conditioner
92,101729-0-0-6.wav,101729,3.0,7.0,2,9,0,air_conditioner
93,101729-0-0-9.wav,101729,4.5,8.5,2,9,0,air_conditioner
939,119067-0-0-0.wav,119067,0.0,4.0,1,10,0,air_conditioner
940,119067-0-0-1.wav,119067,0.5,4.5,1,10,0,air_conditioner
941,119067-0-0-2.wav,119067,1.0,5.0,1,10,0,air_conditioner
966,121285-0-0-0.wav,121285,0.0,4.0,1,6,0,air_conditioner
967,121285-0-0-1.wav,121285,0.5,4.5,1,6,0,air_conditioner
968,121285-0-0-2.wav,121285,1.0,5.0,1,6,0,air_conditioner
969,121285-0-0-3.wav,121285,1.5,5.5,1,6,0,air_conditioner
970,121285-0-0-4.wav,121285,2.0,6.0,1,6,0,air_conditioner
971,121285-0-0-5.wav,121285,2.5,6.5,1,6,0,air_conditioner
972,121285-0-0-6.wav,121285,3.0,7.0,1,6,0,air_conditioner
973,121285-0-0-7.wav,121285,3.5,7.5,1,6,0,air_conditioner
974,121285-0-0-8.wav,121285,4.0,8.0,1,6,0,air_conditioner
975,121285-0-0-9.wav,121285,4.5,8.5,1,6,0,air_conditioner
976,121286-0-0-0.wav,121286,0.0,4.0,1,5,0,air_conditioner
977,121286-0-0-1.wav,121286,0.5,4.5,1,5,0,air_conditioner
978,121286-0-0-10.wav,121286,5.0,9.0,1,5,0,air_conditioner
979,121286-0-0-11.wav,121286,5.5,9.5,1,5,0,air_conditioner
980,121286-0-0-12.wav,121286,6.0,10.0,1,5,0,air_conditioner
981,121286-0-0-13.wav,121286,6.5,10.5,1,5,0,air_conditioner
982,121286-0-0-14.wav,121286,7.0,11.0,1,5,0,air_conditioner
983,121286-0-0-15.wav,121286,7.5,11.5,1,5,0,air_conditioner
984,121286-0-0-2.wav,121286,1.0,5.0,1,5,0,air_conditioner
985,121286-0-0-3.wav,121286,1.5,5.5,1,5,0,air_conditioner
986,121286-0-0-4.wav,121286,2.0,6.0,1,5,0,air_conditioner
987,121286-0-0-5.wav,121286,2.5,6.5,1,5,0,air_conditioner
988,121286-0-0-6.wav,121286,3.0,7.0,1,5,0,air_conditioner
989,121286-0-0-7.wav,121286,3.5,7.5,1,5,0,air_conditioner
990,121286-0-0-8.wav,121286,4.0,8.0,1,5,0,air_conditioner
991,121286-0-0-9.wav,121286,4.5,8.5,1,5,0,air_conditioner
1169,127872-0-0-0.wav,127872,0.0,2.498417,1,2,0,air_conditioner
1170,127873-0-0-0.wav,127873,0.0,2.04075,1,1,0,air_conditioner
1326,13230-0-0-1.wav,13230,0.5,4.5,1,3,0,air_conditioner
1327,13230-0-0-10.wav,13230,5.0,9.0,1,3,0,air_conditioner
1328,13230-0-0-11.wav,13230,5.5,9.5,1,3,0,air_conditioner
1329,13230-0-0-12.wav,13230,6.0,10.0,1,3,0,air_conditioner
1330,13230-0-0-13.wav,13230,6.5,10.5,1,3,0,air_conditioner
1331,13230-0-0-14.wav,13230,7.0,11.0,1,3,0,air_conditioner
1332,13230-0-0-16.wav,13230,8.0,12.0,1,3,0,air_conditioner
1333,13230-0-0-17.wav,13230,8.5,12.5,1,3,0,air_conditioner
1334,13230-0-0-18.wav,13230,9.0,13.0,1,3,0,air_conditioner
1335,13230-0-0-19.wav,13230,9.5,13.5,1,3,0,air_conditioner
1336,13230-0-0-20.wav,13230,10.0,14.0,1,3,0,air_conditioner
1337,13230-0-0-22.wav,13230,11.0,15.0,1,3,0,air_conditioner
1338,13230-0-0-23.wav,13230,11.5,15.5,1,3,0,air_conditioner
1339,13230-0-0-24.wav,13230,12.0,16.0,1,3,0,air_conditioner
1340,13230-0-0-25.wav,13230,12.5,16.5,1,3,0,air_conditioner
1341,13230-0-0-26.wav,13230,13.0,17.0,1,3,0,air_conditioner
1342,13230-0-0-27.wav,13230,13.5,17.5,1,3,0,air_conditioner
1343,13230-0-0-28.wav,13230,14.0,18.0,1,3,0,air_conditioner
1344,13230-0-0-3.wav,13230,1.5,5.5,1,3,0,air_conditioner
1345,13230-0-0-5.wav,13230,2.5,6.5,1,3,0,air_conditioner
1346,13230-0-0-6.wav,13230,3.0,7.0,1,3,0,air_conditioner
1347,13230-0-0-7.wav,13230,3.5,7.5,1,3,0,air_conditioner
1348,13230-0-0-8.wav,13230,4.0,8.0,1,3,0,air_conditioner
1349,13230-0-0-9.wav,13230,4.5,8.5,1,3,0,air_conditioner
1383,134717-0-0-0.wav,134717,0.0,4.0,1,1,0,air_conditioner
1384,134717-0-0-1.wav,134717,0.5,4.5,1,1,0,air_conditioner
1385,134717-0-0-12.wav,134717,6.0,10.0,1,1,0,air_conditioner
1386,134717-0-0-13.wav,134717,6.5,10.5,1,1,0,air_conditioner
1387,134717-0-0-14.wav,134717,7.0,11.0,1,1,0,air_conditioner
1388,134717-0-0-15.wav,134717,7.5,11.5,1,1,0,air_conditioner
1389,134717-0-0-16.wav,134717,8.0,12.0,1,1,0,air_conditioner
1390,134717-0-0-18.wav,134717,9.0,13.0,1,1,0,air_conditioner
1391,134717-0-0-19.wav,134717,9.5,13.5,1,1,0,air_conditioner
1392,134717-0-0-2.wav,134717,1.0,5.0,1,1,0,air_conditioner
1393,134717-0-0-20.wav,134717,10.0,14.0,1,1,0,air_conditioner
1394,134717-0-0-21.wav,134717,10.5,14.5,1,1,0,air_conditioner
1395,134717-0-0-22.wav,134717,11.0,15.0,1,1,0,air_conditioner
1396,134717-0-0-23.wav,134717,11.5,15.5,1,1,0,air_conditioner
1397,134717-0-0-24.wav,134717,12.0,16.0,1,1,0,air_conditioner
1398,134717-0-0-25.wav,134717,12.5,16.5,1,1,0,air_conditioner
1399,134717-0-0-26.wav,134717,13.0,17.0,1,1,0,air_conditioner
1400,134717-0-0-27.wav,134717,13.5,17.5,1,1,0,air_conditioner
1401,134717-0-0-28.wav,134717,14.0,18.0,1,1,0,air_conditioner
1402,134717-0-0-4.wav,134717,2.0,6.0,1,1,0,air_conditioner
1403,134717-0-0-5.wav,134717,2.5,6.5,1,1,0,air_conditioner
1404,134717-0-0-6.wav,134717,3.0,7.0,1,1,0,air_conditioner
1405,134717-0-0-7.wav,134717,3.5,7.5,1,1,0,air_conditioner
1406,134717-0-0-8.wav,134717,4.0,8.0,1,1,0,air_conditioner
1407,134717-0-0-9.wav,134717,4.5,8.5,1,1,0,air_conditioner
1842,146690-0-0-100.wav,146690,50.0,54.0,1,2,0,air_conditioner
1843,146690-0-0-112.wav,146690,56.0,60.0,1,2,0,air_conditioner
1844,146690-0-0-115.wav,146690,57.5,61.5,1,2,0,air_conditioner
1845,146690-0-0-116.wav,146690,58.0,62.0,1,2,0,air_conditioner
1846,146690-0-0-117.wav,146690,58.5,62.5,1,2,0,air_conditioner
1847,146690-0-0-125.wav,146690,62.5,66.5,1,2,0,air_conditioner
1848,146690-0-0-137.wav,146690,68.5,72.5,1,2,0,air_conditioner
1849,146690-0-0-140.wav,146690,70.0,74.0,1,2,0,air_conditioner
1850,146690-0-0-151.wav,146690,75.5,79.5,1,2,0,air_conditioner
1851,146690-0-0-154.wav,146690,77.0,81.0,1,2,0,air_conditioner
1852,146690-0-0-155.wav,146690,77.5,81.5,1,2,0,air_conditioner
1853,146690-0-0-165.wav,146690,82.5,86.5,1,2,0,air_conditioner
1854,146690-0-0-17.wav,146690,8.5,12.5,1,2,0,air_conditioner
1855,146690-0-0-18.wav,146690,9.0,13.0,1,2,0,air_conditioner
1856,146690-0-0-25.wav,146690,12.5,16.5,1,2,0,air_conditioner
1857,146690-0-0-35.wav,146690,17.5,21.5,1,2,0,air_conditioner
1858,146690-0-0-38.wav,146690,19.0,23.0,1,2,0,air_conditioner
1859,146690-0-0-43.wav,146690,21.5,25.5,1,2,0,air_conditioner
1860,146690-0-0-47.wav,146690,23.5,27.5,1,2,0,air_conditioner
1861,146690-0-0-64.wav,146690,32.0,36.0,1,2,0,air_conditioner
1862,146690-0-0-8.wav,146690,4.0,8.0,1,2,0,air_conditioner
1863,146690-0-0-80.wav,146690,40.0,44.0,1,2,0,air_conditioner
1864,146690-0-0-86.wav,146690,43.0,47.0,1,2,0,air_conditioner
1865,146690-0-0-87.wav,146690,43.5,47.5,1,2,0,air_conditioner
1866,146690-0-0-93.wav,146690,46.5,50.5,1,2,0,air_conditioner
1867,146709-0-0-1.wav,146709,0.5,4.5,1,4,0,air_conditioner
1868,146709-0-0-11.wav,146709,5.5,9.5,1,4,0,air_conditioner
1869,146709-0-0-12.wav,146709,6.0,10.0,1,4,0,air_conditioner
1870,146709-0-0-17.wav,146709,8.5,12.5,1,4,0,air_conditioner
1871,146709-0-0-18.wav,146709,9.0,13.0,1,4,0,air_conditioner
1872,146709-0-0-19.wav,146709,9.5,13.5,1,4,0,air_conditioner
1873,146709-0-0-20.wav,146709,10.0,14.0,1,4,0,air_conditioner
1874,146709-0-0-22.wav,146709,11.0,15.0,1,4,0,air_conditioner
1875,146709-0-0-25.wav,146709,12.5,16.5,1,4,0,air_conditioner
1876,146709-0-0-26.wav,146709,13.0,17.0,1,4,0,air_conditioner
1877,146709-0-0-3.wav,146709,1.5,5.5,1,4,0,air_conditioner
1878,146709-0-0-30.wav,146709,15.0,19.0,1,4,0,air_conditioner
1879,146709-0-0-33.wav,146709,16.5,20.5,1,4,0,air_conditioner
1880,146709-0-0-34.wav,146709,17.0,21.0,1,4,0,air_conditioner
1881,146709-0-0-37.wav,146709,18.5,22.5,1,4,0,air_conditioner
1882,146709-0-0-44.wav,146709,22.0,26.0,1,4,0,air_conditioner
1883,146709-0-0-48.wav,146709,24.0,28.0,1,4,0,air_conditioner
1884,146709-0-0-53.wav,146709,26.5,30.5,1,4,0,air_conditioner
1885,146709-0-0-59.wav,146709,29.5,33.5,1,4,0,air_conditioner
1886,146709-0-0-63.wav,146709,31.5,35.5,1,4,0,air_conditioner
1887,146709-0-0-65.wav,146709,32.5,36.5,1,4,0,air_conditioner
1888,146709-0-0-66.wav,146709,33.0,37.0,1,4,0,air_conditioner
1889,146709-0-0-68.wav,146709,34.0,38.0,1,4,0,air_conditioner
1890,146709-0-0-7.wav,146709,3.5,7.5,1,4,0,air_conditioner
1891,146714-0-0-0.wav,146714,0.0,4.0,2,3,0,air_conditioner
1892,146714-0-0-12.wav,146714,6.0,10.0,2,3,0,air_conditioner
1893,146714-0-0-13.wav,146714,6.5,10.5,2,3,0,air_conditioner
1894,146714-0-0-17.wav,146714,8.5,12.5,2,3,0,air_conditioner
1895,146714-0-0-18.wav,146714,9.0,13.0,2,3,0,air_conditioner
1896,146714-0-0-2.wav,146714,1.0,5.0,2,3,0,air_conditioner
1897,146714-0-0-21.wav,146714,10.5,14.5,2,3,0,air_conditioner
1898,146714-0-0-22.wav,146714,11.0,15.0,2,3,0,air_conditioner
1899,146714-0-0-27.wav,146714,13.5,17.5,2,3,0,air_conditioner
1900,146714-0-0-33.wav,146714,16.5,20.5,2,3,0,air_conditioner
1901,146714-0-0-35.wav,146714,17.5,21.5,2,3,0,air_conditioner
1902,146714-0-0-36.wav,146714,18.0,22.0,2,3,0,air_conditioner
1903,146714-0-0-38.wav,146714,19.0,23.0,2,3,0,air_conditioner
1904,146714-0-0-41.wav,146714,20.5,24.5,2,3,0,air_conditioner
1905,146714-0-0-43.wav,146714,21.5,25.5,2,3,0,air_conditioner
1906,146714-0-0-45.wav,146714,22.5,26.5,2,3,0,air_conditioner
1907,146714-0-0-47.wav,146714,23.5,27.5,2,3,0,air_conditioner
1908,146714-0-0-49.wav,146714,24.5,28.5,2,3,0,air_conditioner
1909,146714-0-0-50.wav,146714,25.0,29.0,2,3,0,air_conditioner
1910,146714-0-0-53.wav,146714,26.5,30.5,2,3,0,air_conditioner
1911,146714-0-0-55.wav,146714,27.5,31.5,2,3,0,air_conditioner
1912,146714-0-0-56.wav,146714,28.0,32.0,2,3,0,air_conditioner
1913,146714-0-0-58.wav,146714,29.0,33.0,2,3,0,air_conditioner
1914,146714-0-0-6.wav,146714,3.0,7.0,2,3,0,air_conditioner
1915,146845-0-0-0.wav,146845,0.0,4.0,1,7,0,air_conditioner
1916,146845-0-0-1.wav,146845,0.5,4.5,1,7,0,air_conditioner
1917,146845-0-0-10.wav,146845,5.0,9.0,1,7,0,air_conditioner
1918,146845-0-0-11.wav,146845,5.5,9.5,1,7,0,air_conditioner
1919,146845-0-0-12.wav,146845,6.0,10.0,1,7,0,air_conditioner
1920,146845-0-0-13.wav,146845,6.5,10.5,1,7,0,air_conditioner
1921,146845-0-0-14.wav,146845,7.0,11.0,1,7,0,air_conditioner
1922,146845-0-0-15.wav,146845,7.5,11.5,1,7,0,air_conditioner
1923,146845-0-0-16.wav,146845,8.0,12.0,1,7,0,air_conditioner
1924,146845-0-0-17.wav,146845,8.5,12.5,1,7,0,air_conditioner
1925,146845-0-0-18.wav,146845,9.0,13.0,1,7,0,air_conditioner
1926,146845-0-0-19.wav,146845,9.5,13.5,1,7,0,air_conditioner
1927,146845-0-0-2.wav,146845,1.0,5.0,1,7,0,air_conditioner
1928,146845-0-0-20.wav,146845,10.0,14.0,1,7,0,air_conditioner
1929,146845-0-0-21.wav,146845,10.5,14.5,1,7,0,air_conditioner
1930,146845-0-0-22.wav,146845,11.0,15.0,1,7,0,air_conditioner
1931,146845-0-0-24.wav,146845,12.0,16.0,1,7,0,air_conditioner
1932,146845-0-0-25.wav,146845,12.5,16.5,1,7,0,air_conditioner
1933,146845-0-0-26.wav,146845,13.0,17.0,1,7,0,air_conditioner
1934,146845-0-0-27.wav,146845,13.5,17.5,1,7,0,air_conditioner
1935,146845-0-0-3.wav,146845,1.5,5.5,1,7,0,air_conditioner
1936,146845-0-0-30.wav,146845,15.0,19.0,1,7,0,air_conditioner
1937,146845-0-0-31.wav,146845,15.5,19.5,1,7,0,air_conditioner
1938,146845-0-0-32.wav,146845,16.0,20.0,1,7,0,air_conditioner
1939,146845-0-0-33.wav,146845,16.5,20.5,1,7,0,air_conditioner
1940,146845-0-0-35.wav,146845,17.5,21.5,1,7,0,air_conditioner
1941,146845-0-0-36.wav,146845,18.0,22.0,1,7,0,air_conditioner
1942,146845-0-0-5.wav,146845,2.5,6.5,1,7,0,air_conditioner
1943,146845-0-0-6.wav,146845,3.0,7.0,1,7,0,air_conditioner
1944,146845-0-0-7.wav,146845,3.5,7.5,1,7,0,air_conditioner
1945,146845-0-0-8.wav,146845,4.0,8.0,1,7,0,air_conditioner
1946,146845-0-0-9.wav,146845,4.5,8.5,1,7,0,air_conditioner
1982,147926-0-0-10.wav,147926,5.0,9.0,1,2,0,air_conditioner
1983,147926-0-0-11.wav,147926,5.5,9.5,1,2,0,air_conditioner
1984,147926-0-0-12.wav,147926,6.0,10.0,1,2,0,air_conditioner
1985,147926-0-0-16.wav,147926,8.0,12.0,1,2,0,air_conditioner
1986,147926-0-0-17.wav,147926,8.5,12.5,1,2,0,air_conditioner
1987,147926-0-0-2.wav,147926,1.0,5.0,1,2,0,air_conditioner
1988,147926-0-0-20.wav,147926,10.0,14.0,1,2,0,air_conditioner
1989,147926-0-0-21.wav,147926,10.5,14.5,1,2,0,air_conditioner
1990,147926-0-0-27.wav,147926,13.5,17.5,1,2,0,air_conditioner
1991,147926-0-0-28.wav,147926,14.0,18.0,1,2,0,air_conditioner
1992,147926-0-0-34.wav,147926,17.0,21.0,1,2,0,air_conditioner
1993,147926-0-0-35.wav,147926,17.5,21.5,1,2,0,air_conditioner
1994,147926-0-0-36.wav,147926,18.0,22.0,1,2,0,air_conditioner
1995,147926-0-0-37.wav,147926,18.5,22.5,1,2,0,air_conditioner
1996,147926-0-0-39.wav,147926,19.5,23.5,1,2,0,air_conditioner
1997,147926-0-0-4.wav,147926,2.0,6.0,1,2,0,air_conditioner
1998,147926-0-0-41.wav,147926,20.5,24.5,1,2,0,air_conditioner
1999,147926-0-0-42.wav,147926,21.0,25.0,1,2,0,air_conditioner
2000,147926-0-0-44.wav,147926,22.0,26.0,1,2,0,air_conditioner
2001,147926-0-0-5.wav,147926,2.5,6.5,1,2,0,air_conditioner
2002,147926-0-0-50.wav,147926,25.0,29.0,1,2,0,air_conditioner
2003,147926-0-0-52.wav,147926,26.0,30.0,1,2,0,air_conditioner
2004,147926-0-0-54.wav,147926,27.0,31.0,1,2,0,air_conditioner
2005,147926-0-0-7.wav,147926,3.5,7.5,1,2,0,air_conditioner
2126,151977-0-0-0.wav,151977,0.466587,4.4665870000000005,1,1,0,air_conditioner
2127,151977-0-0-1.wav,151977,0.9665870000000001,4.9665870000000005,1,1,0,air_conditioner
2128,151977-0-0-10.wav,151977,5.4665870000000005,9.466586999999999,1,1,0,air_conditioner
2129,151977-0-0-11.wav,151977,5.9665870000000005,9.966586999999999,1,1,0,air_conditioner
2130,151977-0-0-12.wav,151977,6.4665870000000005,10.466586999999999,1,1,0,air_conditioner
2131,151977-0-0-13.wav,151977,6.966587,10.966586999999999,1,1,0,air_conditioner
2132,151977-0-0-2.wav,151977,1.466587,5.4665870000000005,1,1,0,air_conditioner
2133,151977-0-0-3.wav,151977,1.9665869999999999,5.9665870000000005,1,1,0,air_conditioner
2134,151977-0-0-4.wav,151977,2.466587,6.4665870000000005,1,1,0,air_conditioner
2135,151977-0-0-5.wav,151977,2.966587,6.9665870000000005,1,1,0,air_conditioner
2136,151977-0-0-6.wav,151977,3.466587,7.466587,1,1,0,air_conditioner
2137,151977-0-0-7.wav,151977,3.966587,7.966587,1,1,0,air_conditioner
2138,151977-0-0-8.wav,151977,4.4665870000000005,8.466586999999999,1,1,0,air_conditioner
2139,151977-0-0-9.wav,151977,4.9665870000000005,8.966586999999999,1,1,0,air_conditioner
2165,153261-0-0-0.wav,153261,0.0,4.0,1,3,0,air_conditioner
2166,153261-0-0-1.wav,153261,0.5,4.5,1,3,0,air_conditioner
2167,153261-0-0-2.wav,153261,1.0,5.0,1,3,0,air_conditioner
2168,153261-0-0-3.wav,153261,1.5,5.5,1,3,0,air_conditioner
2787,159761-0-0-0.wav,159761,0.0,4.0,2,3,0,air_conditioner
2788,159761-0-0-1.wav,159761,0.5,4.5,2,3,0,air_conditioner
2789,159761-0-0-2.wav,159761,1.0,5.0,2,3,0,air_conditioner
2790,159761-0-0-3.wav,159761,1.5,5.5,2,3,0,air_conditioner
2791,159761-0-0-4.wav,159761,2.0,6.0,2,3,0,air_conditioner
2792,159761-0-0-5.wav,159761,2.5,6.5,2,3,0,air_conditioner
2793,159761-0-0-6.wav,159761,3.0,7.0,2,3,0,air_conditioner
2794,159761-0-0-7.wav,159761,3.5,7.5,2,3,0,air_conditioner
2795,159761-0-0-8.wav,159761,4.0,8.0,2,3,0,air_conditioner
2882,162103-0-0-0.wav,162103,0.0,4.0,1,8,0,air_conditioner
2883,162103-0-0-1.wav,162103,0.5,4.5,1,8,0,air_conditioner
2884,162103-0-0-10.wav,162103,5.0,9.0,1,8,0,air_conditioner
2885,162103-0-0-11.wav,162103,5.5,9.5,1,8,0,air_conditioner
2886,162103-0-0-12.wav,162103,6.0,10.0,1,8,0,air_conditioner
2887,162103-0-0-13.wav,162103,6.5,10.5,1,8,0,air_conditioner
2888,162103-0-0-14.wav,162103,7.0,11.0,1,8,0,air_conditioner
2889,162103-0-0-15.wav,162103,7.5,11.5,1,8,0,air_conditioner
2890,162103-0-0-16.wav,162103,8.0,12.0,1,8,0,air_conditioner
2891,162103-0-0-17.wav,162103,8.5,12.5,1,8,0,air_conditioner
2892,162103-0-0-2.wav,162103,1.0,5.0,1,8,0,air_conditioner
2893,162103-0-0-3.wav,162103,1.5,5.5,1,8,0,air_conditioner
2894,162103-0-0-4.wav,162103,2.0,6.0,1,8,0,air_conditioner
2895,162103-0-0-5.wav,162103,2.5,6.5,1,8,0,air_conditioner
2896,162103-0-0-6.wav,162103,3.0,7.0,1,8,0,air_conditioner
2897,162103-0-0-7.wav,162103,3.5,7.5,1,8,0,air_conditioner
2898,162103-0-0-8.wav,162103,4.0,8.0,1,8,0,air_conditioner
2899,162103-0-0-9.wav,162103,4.5,8.5,1,8,0,air_conditioner
3123,165454-0-0-0.wav,165454,0.0,4.0,1,9,0,air_conditioner
3124,165454-0-0-1.wav,165454,0.5,4.5,1,9,0,air_conditioner
3125,165454-0-0-10.wav,165454,5.0,9.0,1,9,0,air_conditioner
3126,165454-0-0-11.wav,165454,5.5,9.5,1,9,0,air_conditioner
3127,165454-0-0-12.wav,165454,6.0,10.0,1,9,0,air_conditioner
3128,165454-0-0-2.wav,165454,1.0,5.0,1,9,0,air_conditioner
3129,165454-0-0-3.wav,165454,1.5,5.5,1,9,0,air_conditioner
3130,165454-0-0-4.wav,165454,2.0,6.0,1,9,0,air_conditioner
3131,165454-0-0-5.wav,165454,2.5,6.5,1,9,0,air_conditioner
3132,165454-0-0-6.wav,165454,3.0,7.0,1,9,0,air_conditioner
3133,165454-0-0-7.wav,165454,3.5,7.5,1,9,0,air_conditioner
3134,165454-0-0-8.wav,165454,4.0,8.0,1,9,0,air_conditioner
3135,165454-0-0-9.wav,165454,4.5,8.5,1,9,0,air_conditioner
3227,166942-0-0-0.wav,166942,0.0,4.0,1,4,0,air_conditioner
3228,166942-0-0-1.wav,166942,0.5,4.5,1,4,0,air_conditioner
3229,166942-0-0-10.wav,166942,5.0,9.0,1,4,0,air_conditioner
3230,166942-0-0-11.wav,166942,5.5,9.5,1,4,0,air_conditioner
3231,166942-0-0-12.wav,166942,6.0,10.0,1,4,0,air_conditioner
3232,166942-0-0-13.wav,166942,6.5,10.5,1,4,0,air_conditioner
3233,166942-0-0-14.wav,166942,7.0,11.0,1,4,0,air_conditioner
3234,166942-0-0-15.wav,166942,7.5,11.5,1,4,0,air_conditioner
3235,166942-0-0-2.wav,166942,1.0,5.0,1,4,0,air_conditioner
3236,166942-0-0-3.wav,166942,1.5,5.5,1,4,0,air_conditioner
3237,166942-0-0-4.wav,166942,2.0,6.0,1,4,0,air_conditioner
3238,166942-0-0-5.wav,166942,2.5,6.5,1,4,0,air_conditioner
3239,166942-0-0-6.wav,166942,3.0,7.0,1,4,0,air_conditioner
3240,166942-0-0-7.wav,166942,3.5,7.5,1,4,0,air_conditioner
3241,166942-0-0-8.wav,166942,4.0,8.0,1,4,0,air_conditioner
3242,166942-0-0-9.wav,166942,4.5,8.5,1,4,0,air_conditioner
3243,167464-0-0-0.wav,167464,0.0,4.0,2,10,0,air_conditioner
3244,167464-0-0-1.wav,167464,0.5,4.5,2,10,0,air_conditioner
3245,167464-0-0-10.wav,167464,5.0,9.0,2,10,0,air_conditioner
3246,167464-0-0-11.wav,167464,5.5,9.5,2,10,0,air_conditioner
3247,167464-0-0-12.wav,167464,6.0,10.0,2,10,0,air_conditioner
3248,167464-0-0-13.wav,167464,6.5,10.5,2,10,0,air_conditioner
3249,167464-0-0-14.wav,167464,7.0,11.0,2,10,0,air_conditioner
3250,167464-0-0-15.wav,167464,7.5,11.5,2,10,0,air_conditioner
3251,167464-0-0-16.wav,167464,8.0,12.0,2,10,0,air_conditioner
3252,167464-0-0-17.wav,167464,8.5,12.5,2,10,0,air_conditioner
3253,167464-0-0-18.wav,167464,9.0,13.0,2,10,0,air_conditioner
3254,167464-0-0-19.wav,167464,9.5,13.5,2,10,0,air_conditioner
3255,167464-0-0-2.wav,167464,1.0,5.0,2,10,0,air_conditioner
3256,167464-0-0-20.wav,167464,10.0,14.0,2,10,0,air_conditioner
3257,167464-0-0-21.wav,167464,10.5,14.5,2,10,0,air_conditioner
3258,167464-0-0-22.wav,167464,11.0,15.0,2,10,0,air_conditioner
